TYPE,ADULT_JUVENILE,YEAR,DATETIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,GIS_ID,CREATOR,CREATED,EDITOR,EDITED,OBJECTID,GLOBALID
Possession,Adult,2012,2012/01/01 06:00:00+00,"b';\xc8k~\xa4iJ'",20,5D,501,399700,137900,Out of State,Out of State,B ,N ,F,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900,MARIJUANA_ARRESTS_1,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12481,{4654D30A-5B56-4E19-8FC2-B19CC723C747}
Possession,Adult,2012,2012/01/01 06:00:00+00,"b';\xc8k~\xa4iJ'",23,5D,501,399700,137900,Out of State,Out of State,B ,N ,M,Narcotics,Ucsa Possession Marijuana,FLORIDA AVE NE,401400,136900,MARIJUANA_ARRESTS_2,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12482,{1C0EBA86-27EC-4B8E-8ABB-6EFFF03A0AA2}
Possession,Adult,2012,2012/01/01 06:00:00+00,b't6\xa0\xac\xec`\xa4',46,7D,707,399700,130600,705,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,3300 BLOCK OF BROTHERS PL SE,399700,130600,MARIJUANA_ARRESTS_3,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12483,{88080D68-CFA3-41E6-AA69-5DB7F950A134}
Possession,Adult,2012,2012/01/01 09:35:00+00,b'\xbe\x1d\xa7\xf5\xffWx',30,6D,605,403300,134500,605,6D,B ,U ,M,Narcotics,Ucsa Possession Marijuana,700 BLOCK OF 32ND ST SE,,,MARIJUANA_ARRESTS_4,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12484,{7769980A-5F36-4B3C-91CF-D1A3A94CE52E}
Possession with intent to distribute,Adult,2012,2012/01/02 19:40:00+00,b'\xbb\xc0\x8e\x94\x81\xac\xcd',29,6D,604,406400,135300,,,U,U ,M,Narcotics,Ucsa Pwid Marijuana,5300 BLOCK OF B ST SE,,,MARIJUANA_ARRESTS_5,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12485,{5D5BEE85-DF16-41A1-BB49-0D16D0EE1320}
Possession,Adult,2012,2012/01/02 21:47:00+00,b'\x94\xd2y\xaa\xf5\x1a\xcc',33,6D,604,406700,135700,301,3D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,UNIT BLOCK OF 55TH ST SE,406700,135700,MARIJUANA_ARRESTS_6,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12486,{A2B5193B-4D36-4288-B4D1-17AAF06873AE}
Possession with intent to distribute,Adult,2012,2012/01/03 01:30:00+00,b'\x86\xb5?\x7f\xe1\xde\x86',28,6D,601,404300,137400,502,5D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,3700 BLOCK OF HAYES ST NE,404300,137400,MARIJUANA_ARRESTS_7,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12487,{EC68EFB1-5862-451E-8A20-42138B169026}
Possession,Adult,2012,2012/01/03 07:05:00+00,b'\nt\xb3~+\xca\xe6',36,5D,501,399300,138000,702,7D,B ,N ,M,Narcotics,Ucsa Possession Marijuana,BATES ST NW,,,MARIJUANA_ARRESTS_8,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12488,{ED707C36-3967-4E55-BEA5-23793A8CE7FE}
Possession with intent to distribute,Adult,2012,2012/01/03 22:01:00+00,b'6\x1d\xfa/y\xe0:',35,6D,604,406200,135000,604,6D,B ,N ,M,Narcotics,Ucsa Pwid Marijuana,400 BLOCK OF 51ST ST SE,406200,135000,MARIJUANA_ARRESTS_9,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12489,{2CDBB797-F8BB-4D74-83FD-F83D14A81AA7}
Possession,Adult,2012,2012/01/04 04:15:00+00,b'\x8f.\xc0.\x99\\\xca',27,4D,403,397600,143000,501,5D,U,U ,M,Narcotics,Ucsa Possession Marijuana,5400 BLOCK OF GEORGIA AVE NW,397600,143000,MARIJUANA_ARRESTS_10,JLAY,2022/10/18 21:51:23+00,JLAY,2022/10/18 21:51:23+00,12490,{61F8EC05-5F88-40AB-BFD8-57824A5A10C4}
