Age,Gender,EducationLevel,HouseholdIncome,Frequency_LaptopDesktop,Frequency_Smartphone,Frequency_Tablet,Frequency_SmartHomeDevices,Frequency_WearableDevices,Frequency_GamingConsoles,Frequency_HomeSecuritySystem,LikelinessToAdopt,Benefit_ProductivityEfficiency,Benefit_CommunicationConnectivity,Benefit_EasyAccessToInfo,Benefit_Entertainment,Risk_SecurityPrivacy,Risk_ExcessScreenTime,Risk_ComplicatedToUse,Risk_Addiction,Risk_Health,Risk_LossOfConnection,Influence_FamilyFriends,Influence_PromoActivities,Influence_SocialPopularity,Influence_ExpertRecommendation,Influence_Endorsements,Barrier_HighPrice,Barrier_TechKnowledge,Barrier_PrivacySecurity,Barrier_ReliableInternet,Barrier_ChangeReluctance,LikelinessToRecommend
25,Female,Bachelor's Degree,1500000,4,5,0,4,0,0,0,3,4,4,5,5,4,4,4,4,4,3,5,3,5,4,2,3,4,4,3,4,4
48,Female,Bachelor's Degree,800000,3,5,5,4,5,2,3,4,5,5,5,5,4,3,2,2,2,4,4,4,4,4,2,2,4,4,4,4,5
49,Male,Master's Degree,30000000,4,4,0,2,0,0,0,4,4,4,4,4,5,5,4,4,5,5,3,3,3,3,1,5,5,5,3,4,3
38,Male,Bachelor's Degree,20000,1,0,1,1,1,2,1,3,1,2,1,2,1,2,2,1,2,3,3,2,3,3,2,1,3,2,3,2,3
45,Male,Bachelor's Degree,5000000,5,5,3,5,5,0,0,5,5,5,5,5,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,5
45,Female,Bachelor's Degree,1200000,4,4,3,4,4,2,2,5,4,4,4,4,4,5,5,5,5,5,3,3,4,4,3,3,3,3,3,3,5
47,Male,Doctorate,5000000,5,5,4,4,4,3,3,4,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,5,5,5,4,5,5
55,Female,Bachelor's Degree,60000,1,0,1,0,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
49,Male,Master's Degree,600000,0,0,1,1,1,1,0,1,4,4,4,4,1,2,2,2,2,2,4,4,4,4,4,2,4,3,4,1,5
41,Male,Master's Degree,800000,0,0,0,0,0,2,1,2,3,2,3,3,2,2,2,2,2,3,1,1,1,1,1,2,3,3,2,3,5
34,Male,Master's Degree,500000,5,5,5,5,5,4,3,1,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1
43,Male,Bachelor's Degree,600000,5,5,5,5,5,0,3,5,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,3,3,3,3,5
41,Male,Bachelor's Degree,400000,5,5,2,5,5,3,0,5,5,5,5,5,4,5,3,5,3,2,5,3,5,5,3,2,1,5,1,1,5
62,Male,Master's Degree,15000000,0,0,2,0,2,2,0,5,1,1,1,1,3,2,2,2,2,2,3,4,2,1,1,1,1,2,2,2,5
35,Male,Master's Degree,1000000,4,5,3,3,4,1,2,5,5,5,5,5,4,4,2,3,3,1,4,3,2,3,2,1,1,1,5,2,3
35,Male,Master's Degree,1500000,2,2,2,0,1,0,2,5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,3,2,3,5
61,Male,Master's Degree,500000,4,4,0,4,0,0,0,5,5,5,5,4,4,5,4,5,5,5,4,4,4,4,4,5,5,5,5,4,4
43,Male,Bachelor's Degree,600000,4,5,4,3,4,1,0,5,1,1,1,3,4,3,3,3,2,5,3,3,2,1,2,3,1,5,3,1,5
45,Male,Master's Degree,6000000,4,4,3,4,0,1,0,4,1,1,1,1,4,4,3,3,4,4,4,3,3,4,3,4,3,4,2,2,4
48,Male,Bachelor's Degree,400000,2,5,2,4,0,0,1,2,4,3,5,5,3,1,1,1,1,1,3,3,4,5,3,5,1,3,1,1,5
50,Male,Bachelor's Degree,500000,5,5,4,4,0,0,0,4,4,4,5,4,2,4,2,5,3,4,1,1,1,4,3,5,3,4,4,2,1
23,Male,Master's Degree,4000000,5,5,0,1,0,5,0,5,5,4,5,5,3,4,2,1,1,4,1,1,1,2,1,1,5,4,4,1,4
55,Male,Master's Degree,15000000,5,5,5,4,4,3,4,4,5,5,5,5,2,4,2,2,2,3,4,4,4,5,3,2,2,2,2,2,4
21,Female,Master's Degree,3600000,4,4,2,0,1,2,2,3,4,4,5,5,4,4,4,5,5,4,4,3,3,4,2,4,3,4,4,3,3
51,Male,Bachelor's Degree,800000,0,4,0,0,0,0,0,3,3,4,4,3,4,4,3,4,4,4,2,2,2,2,2,5,3,5,1,1,3
42,Male,Master's Degree,100000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,Female,Bachelor's Degree,400000,3,5,4,4,4,3,3,4,3,4,5,5,3,4,3,5,5,3,3,3,4,4,4,3,2,2,4,4,4
50,Male,Bachelor's Degree,600000,5,5,0,0,5,0,0,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,1,1,5,5,1,1
26,Male,Master's Degree,1200000,5,5,5,5,5,3,1,5,4,4,5,5,2,2,1,2,3,3,3,2,2,4,1,4,2,2,4,1,5
58,Male,Bachelor's Degree,900000,0,5,0,4,4,0,0,5,4,5,5,5,5,5,4,4,4,5,3,2,3,2,1,2,2,3,2,2,4
26,Female,Master's Degree,2000000,2,2,0,2,2,0,2,4,4,4,5,4,4,4,2,4,4,4,5,4,4,5,5,4,3,4,2,2,4
56,Male,Master's Degree,1500000,1,1,1,1,1,0,0,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,1
50,Female,Master's Degree,900000,4,5,0,4,0,0,0,4,5,5,5,4,5,3,2,2,3,2,4,2,3,4,1,4,1,5,1,1,5
19,Female,Bachelor's Degree,24000000,3,5,0,3,5,0,0,4,3,4,4,4,3,3,2,2,2,4,3,3,2,3,2,2,2,4,3,2,4
27,Female,Bachelor's Degree,300000,0,4,0,0,0,0,0,3,3,3,3,2,4,4,4,4,4,4,3,3,3,3,3,4,5,5,4,2,2
34,Male,Master's Degree,1000000,0,0,3,3,5,1,4,5,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,2,2,2,2,2,5
26,Male,Bachelor's Degree,20474175,4,5,0,4,0,3,2,3,4,5,5,5,5,5,1,5,5,4,3,3,3,3,2,1,1,4,1,3,3
53,Male,Bachelor's Degree,3000000,5,5,3,3,5,0,0,4,5,4,5,5,4,4,3,4,4,3,4,3,2,5,2,2,3,2,1,2,5
25,Male,Master's Degree,1100000,5,5,0,5,0,4,0,3,4,5,5,4,5,4,3,3,3,4,4,4,4,4,1,4,1,5,2,2,4
73,Female,Master's Degree,200000,0,0,2,0,2,2,2,4,5,5,5,5,4,3,4,3,3,5,2,2,3,3,2,4,5,4,1,2,2
45,Female,Bachelor's Degree,4500000,3,5,4,4,5,1,5,5,3,3,4,4,5,4,3,5,4,4,3,3,2,3,2,3,2,4,4,3,2
23,Female,Bachelor's Degree,600000,5,5,5,5,5,4,5,5,3,5,5,5,5,5,3,3,5,5,5,5,5,4,4,5,5,5,4,1,5
22,Male,Bachelor's Degree,2000000,4,5,0,3,2,0,0,4,4,5,4,4,4,3,2,3,3,4,4,3,4,5,2,2,3,2,4,2,4
51,Male,Bachelor's Degree,900000,1,4,1,3,1,0,4,3,4,4,4,4,4,4,4,5,5,5,2,3,3,3,2,3,3,3,3,2,3
24,Female,Bachelor's Degree,300000,5,5,1,4,1,0,0,3,4,4,4,5,4,4,3,4,4,4,3,4,4,4,2,3,1,3,1,1,3
25,Male,Master's Degree,1400000,5,5,5,4,5,0,0,4,4,4,4,4,3,5,1,2,2,3,1,1,1,1,1,3,1,1,1,1,5
46,Female,Bachelor's Degree,400000,1,5,5,5,5,0,0,5,3,5,5,5,5,5,2,5,5,5,2,2,2,2,2,1,1,3,2,2,3
49,Male,High School Graduate,100000,0,2,2,0,0,0,0,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,Male,Master's Degree,25000000,5,5,2,4,1,0,5,4,4,5,5,4,4,5,3,2,4,4,4,5,4,4,5,5,3,4,3,4,4
51,Male,Master's Degree,200000,5,5,0,5,0,0,0,5,5,5,5,5,5,5,1,3,1,4,5,3,4,4,1,5,1,3,4,3,5
43,Female,Bachelor's Degree,800000,5,5,3,5,4,3,4,5,5,5,5,5,5,3,4,3,3,4,3,3,3,4,2,4,3,4,3,3,5
50,Male,Bachelor's Degree,1000000,5,5,0,0,2,0,1,4,4,4,5,4,5,5,5,5,5,5,3,3,3,3,3,3,3,1,3,2,3
23,Male,Master's Degree,150000,5,5,0,5,3,0,0,4,5,5,5,5,4,4,1,3,3,5,4,4,4,5,1,5,1,5,5,5,5
25,Male,Bachelor's Degree,2000000,5,5,1,3,0,4,0,3,4,4,4,5,4,2,2,2,2,3,3,2,2,2,2,3,3,4,3,3,3
24,Male,Bachelor's Degree,2200000,5,5,1,1,0,0,1,2,4,4,5,5,4,4,5,4,4,3,3,2,5,4,1,5,2,1,1,4,4
24,Male,Bachelor's Degree,2200000,5,5,1,1,0,0,1,2,4,4,5,5,4,4,5,4,4,3,3,2,5,4,1,5,2,1,1,4,4
47,Male,Master's Degree,600000,5,5,3,1,1,4,4,5,4,5,5,5,5,5,3,5,3,5,5,5,5,2,2,5,3,5,1,3,5
20,Female,Master's Degree,1500000,5,5,3,2,4,0,0,4,3,2,5,5,4,4,2,4,5,4,4,4,4,5,4,4,3,4,3,3,4
53,Male,Bachelor's Degree,1500000,5,5,5,4,0,0,0,5,4,4,4,4,5,5,1,1,1,5,5,5,5,5,5,3,3,3,3,3,3
27,Male,Bachelor's Degree,15000,5,5,2,4,5,4,3,5,4,4,5,5,4,4,3,4,4,5,3,3,4,4,2,1,1,5,2,1,5
52,Male,Bachelor's Degree,500000,4,5,2,5,2,1,4,5,1,2,1,3,4,4,4,4,4,4,1,3,2,3,1,3,3,3,4,3,1
57,Male,Bachelor's Degree,500000,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3
49,Male,Bachelor's Degree,2000000,0,0,0,0,0,0,0,4,1,1,1,1,5,4,3,4,4,4,4,4,3,5,4,5,4,5,5,3,5
49,Male,Bachelor's Degree,500000,4,5,0,5,5,5,5,3,5,5,4,5,5,5,4,5,5,5,1,5,1,4,1,5,4,5,5,4,3
25,Female,Master's Degree,5000000,0,5,4,0,3,0,5,2,4,5,5,5,5,5,3,5,5,2,3,4,3,3,2,5,4,5,4,4,5
50,Male,High School Graduate,500000,4,4,4,5,3,2,5,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4
24,Male,Master's Degree,1000000,5,5,5,5,0,2,2,3,5,4,5,3,4,5,4,5,5,5,5,4,5,4,4,5,4,3,4,3,3
24,Female,Master's Degree,400000,5,5,0,5,0,0,0,3,2,4,4,5,5,4,4,4,4,4,4,2,2,3,1,5,3,1,1,1,3
60,Male,Bachelor's Degree,1200000,0,5,0,2,0,0,0,3,3,3,3,3,3,4,4,3,3,5,3,3,3,3,3,3,5,5,3,4,4
50,Male,Master's Degree,2400000,5,5,2,5,0,0,0,5,5,5,5,4,5,5,1,5,5,5,2,1,1,4,1,3,1,5,1,1,3
55,Male,Bachelor's Degree,50000000,5,5,3,4,1,0,0,4,5,5,5,3,3,4,2,4,3,4,2,3,2,4,2,2,1,3,1,1,4
23,Male,Master's Degree,600000,5,4,3,3,3,4,3,5,5,5,5,5,5,2,5,3,5,5,2,5,4,4,4,3,2,2,2,3,5
28,Male,Bachelor's Degree,200000,0,4,0,1,4,2,0,4,3,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,1,1,2,1,5
57,Male,Bachelor's Degree,1000000,5,5,1,4,5,0,3,5,4,5,5,4,5,4,3,4,5,4,4,4,2,4,1,5,3,5,5,2,5
55,Male,Master's Degree,300000,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,3,3,5,4,4,2,4,2,3,3,3,3,3,4
25,Male,Bachelor's Degree,100000,5,5,1,3,4,5,3,5,5,5,5,5,4,3,1,3,3,3,3,3,4,5,2,4,3,4,4,3,5
24,Male,Bachelor's Degree,1500000,3,5,0,4,5,4,0,4,4,5,4,5,2,3,2,2,2,3,5,3,3,5,1,3,1,3,5,1,4
24,Male,Bachelor's Degree,100000,5,5,0,5,3,4,0,3,4,4,5,4,5,3,3,3,3,3,4,4,4,4,2,4,1,3,2,3,2
25,Female,Bachelor's Degree,500000,5,5,3,5,5,1,5,4,2,5,5,5,5,5,2,5,5,2,2,5,5,5,2,5,2,5,5,1,4
23,Female,Master's Degree,600000,5,5,0,0,0,0,0,5,5,5,5,5,3,5,2,4,4,4,2,1,1,4,1,5,3,5,4,2,5
22,Male,Master's Degree,700000,5,5,0,5,5,0,4,4,5,5,5,5,4,4,2,2,4,2,4,2,3,4,2,2,2,3,3,2,4
50,Male,Master's Degree,166666.99,5,5,2,3,4,3,4,5,5,4,4,3,3,2,2,2,2,2,2,1,2,3,1,5,1,5,3,2,4
32,Male,Master's Degree,7500000,2,2,2,0,2,2,2,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4
26,Male,Master's Degree,100000,5,5,5,4,0,4,0,4,5,5,4,4,4,5,3,3,2,5,2,2,2,2,1,2,2,3,4,1,5
53,Male,Master's Degree,300000,5,5,0,0,5,1,1,2,3,3,3,3,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,3
63,Male,Doctorate,2400000,5,5,0,0,0,0,0,5,5,5,5,4,4,4,3,4,3,3,4,2,2,4,1,3,2,4,3,1,5
58,Male,Doctorate,1500000,0,0,1,0,0,1,0,5,4,4,4,4,4,4,3,4,4,5,1,3,3,3,4,1,2,1,1,1,4
