SepalLengthCm,SepalWidthCm,PetalWidthCm,Species,eee,wwww,bos,date,ID,id_yeni,text,karisik,İd_2
5.1,1,0.2,Iris-setosa,1,334,[1],1998-08-10,1,,uihiuhiu,01.02222,1
4.9,2,0.2,Iris-setosa,0,335,[1],1998-08-11,2,,uihiuhiu,01.02223,2
4.10,3,0.2,Iris-setosa,0,336,[1],1998-08-12,3,,uihiuhiu,01.02224,3
4.11,4,0.2,Iris-setosa,0,337,[1],1998-08-13,4,,uihiuhiu,01.02225,4
4.12,5,,Iris-setosa,0,338,[1],1998-08-14,5,,uihiuhiu,01.02226,5
4.13,6,,Iris-setosa,0,339,[1],1998-08-15,6,,uihiuhiu,01.02227,6
4.14,7,,Iris-setosa,0,340,[1],1998-08-16,7,7,uihiuhiu,01.02228,7
4.15,8,,Iris-setosa,0,341,[1],1998-08-17,8,8,uihiuhiu,01.02229,8
,9,,Iris-setosa,0,342,[1],1998-08-18,9,9,uihiuhiu,01.02230,9
,10,,Iris-setosa,0,343,2,1998-08-19,10,10,uihiuhiu,01.02231,10
,11,,Iris-setosa,0,344,3,1998-08-20,11,11,uihiuhiu,01.02232,11
,12,,Iris-setosa,0,345,4,1998-08-21,12,12,uihiuhiu,01.02233,12
,13,,Iris-setosa,0,346,5,1998-08-22,13,13,uihiuhiu,ddde,13
,14,,Iris-setosa,0,347,6,1998-08-23,14,14,uihiuhiu,ddde,14
,15,,Iris-setosa,0,348,7,1998-08-24,15,15,uihiuhiu,ddde,15
,16,,Iris-setosa,0,349,8,1998-08-25,16,16,uihiuhiu,ddde,16
,17,,Iris-setosa,0,350,9,1998-08-26,17,17,uihiuhiu,ddde,17
,18,,Iris-setosa,0,351,10,1998-08-27,18,18,uihiuhiu,ddde,18
,19,,Iris-setosa,0,352,11,1998-08-28,19,19,uihiuhiu,ddde,19
,20,,Iris-setosa,0,353,12,1998-08-29,20,20,uihiuhiu,ddde,20
,21,,Iris-setosa,0,354,13,1998-08-30,21,21,uihiuhiu,ddde,21
,22,,Iris-setosa,0,355,14,1998-08-31,22,22,uihiuhiu,ddde,22
,23,,Iris-setosa,0,356,15,1998-09-01,23,23,uihiuhiu,ddde,23
,24,,Iris-setosa,0,357,16,1998-09-02,24,24,uihiuhiu,98475,24
,25,,Iris-setosa,0,358,17,1998-09-03,25,25,uihiuhiu,98476,25
,26,,Iris-setosa,0,359,18,1998-09-04,26,26,uihiuhiu,98477,26
,27,,Iris-setosa,0,360,19,1998-09-05,27,27,uihiuhiu,98478,27
,28,,Iris-setosa,0,361,20,1998-09-06,28,28,uihiuhiu,98479,28
,29,,Iris-setosa,0,362,21,1998-09-07,29,29,uihiuhiu,98480,29
,30,,Iris-setosa,0,363,22,1998-09-08,30,30,uihiuhiu,98481,30
,31,,Iris-setosa,0,364,23,1998-09-09,31,31,uihiuhiu,98482,31
,32,,Iris-setosa,0,365,24,1998-09-10,32,32,uihiuhiu,98483,32
,33,,Iris-setosa,0,366,25,1998-09-11,33,33,uihiuhiu,98484,33
,34,,Iris-setosa,0,367,26,1998-09-12,34,34,uihiuhiu,98485,34
,35,,Iris-setosa,1,368,27,1998-09-13,35,35,uihiuhiu,98486,35
,0,,Iris-setosa,1,369,28,1998-09-14,36,36,uihiuhiu,:,36
,0,,Iris-setosa,1,370,29,1998-09-15,37,37,uihiuhiu,.,37
,0,,Iris-setosa,1,371,30,1998-09-16,38,38,uihiuhiu,",",38
,0,,Iris-setosa,1,372,31,1998-09-17,39,39,uihiuhiu,eedded,39
,0,,Iris-setosa,1,373,32,1998-09-18,40,40,uihiuhiu,deded,40
,0,,Iris-setosa,1,374,33,1998-09-19,41,41,uihiuhiu,deded,41
,0,,Iris-setosa,0,375,34,1998-09-20,42,42,wwwwsqsqs,deded,42
,0,,Iris-setosa,0,376,35,1998-09-21,43,43,wwwwsqsqs,deded,43
,0,,Iris-setosa,0,377,36,1998-09-22,44,44,wwwwsqsqs,deded,44
,0,,Iris-setosa,0,378,37,1998-09-23,45,45,wwwwsqsqs,deded,45
,0,,Iris-setosa,0,379,38,1998-09-24,46,46,wwwwsqsqs,deded,46
,0,,Iris-setosa,0,380,39,1998-09-25,47,47,wwwwsqsqs,deded,47
,0,,Iris-setosa,0,381,40,1998-09-26,48,48,wwwwsqsqs,deded,48
,0,,Iris-setosa,0,382,41,1998-09-27,49,49,,deded,49
,0,,Iris-setosa,0,383,42,1998-09-28,50,50,ddd,deded,50
,0,,Iris-versicolor,0,384,43,1998-09-29,51,51,,deded,51
,0,,Iris-versicolor,0,385,44,1998-09-30,52,52,dwdda,deded,52
,0,,Iris-versicolor,0,386,"26,144",1998-10-01,53,53,,deded,53
,0,,Iris-versicolor,0,387,"27,144",1998-10-02,54,54,,deded,54
,0,,Iris-versicolor,0,388,"28,144",1998-10-03,55,55,,deded,55
