Location,Reactor Name,Model,Reactor Type,Net Capacity (MWe),Construction Start,First Grid Connection,Status,Country,
,Atucha 1,PHWR KWU,PHWR,340,1968-06,1974-03,Working,Argentina,
,Embalse,CANDU 6,PHWR,608,1974-04,1983-04,Working,Argentina,
,Atucha 2,PHWR KWU,PHWR,693,1981-07,2014-06,Working,Argentina,
,Armenian 2,VVER V-270,PWR,416,1975-07,1980-01,Working,Armenia,
,Rooppur 1,VVER-1200/V-523,PWR,1200 MWe,Nov-17,2024,Under Construction,Bangladesh,
,Rooppur 2,VVER-1200/V-523,PWR,1200 MWe,Jul-18,2024 or 2025,Under Construction,Bangladesh,
,Ostrovets 2,VVER V-491,PWR,1110,2014-04,2023-05,Working,Balarus,
,Ostrovets 1,VVER V-491,PWR,1110,2013-11,2020-11,Working,Balarus,
,Doel 1,,PWR,445 MWe,1974,Feb-25,Working,Baljium,
,Doel 2,,PWR,445 MWe,1975,Dec-25,Working,Baljium,
,Doel 4,,PWR,1038 MWe,1985,2025,Working,Baljium,
,Tihange 1,,PWR,962 MWe,1975,2025,Working,Baljium,
,Tihange 3,,PWR,1038 MWe,1985,2025,Working,Baljium,
,Angra 3,,PWR,1405 MWe (1340 MWe net),Jun-10,2028,Under Construction,Brazil,
,"Northeast, Pernambuco",,PWRx4,6000-6600 MWe,,,Under Construction,Brazil,
,"Southeast, Minas Gerais",,PWRx4,4000-6000 MWe,,,Under Construction,Brazil,
,ozloduy 7,,,1000,,,Proposed,Balgaria,
,Total planned (1),,,1000,,,Proposed,Balgaria,
,Belene 1&2,,,2000,,,Proposed,Balgaria,
,Kozloduy 8,,,1000,,,Proposed,Balgaria,
,Total proposed (3),,,3000,,,Proposed,Balgaria,
,Bruce 1,CANDU 791,PHWR,732,6/1/1971,1/14/1977,Working,Canada,
,Bruce 2,CANDU 791,PHWR,732,12/1/1970,9/4/1976,Working,Canada,
,Bruce 3,CANDU 750A,PHWR,750,7/1/1972,12/12/1977,Working,Canada,
,Bruce 4,CANDU 750A,PHWR,750,9/1/1972,12/21/1978,Working,Canada,
,Bruce 5,CANDU 750B,PHWR,822,5/31/1978,12/2/1984,Working,Canada,
,Bruce 6,CANDU 750B,PHWR,822,1/1/1978,6/26/1984,Working,Canada,
,Bruce 7,CANDU 750B,PHWR,822,5/1/1979,2/22/1986,Working,Canada,
,Bruce 8,CANDU 750B,PHWR,795,7/30/1979,3/9/1987,Working,Canada,
,Darlington 1,CANDU 850,PHWR,881,4/1/1982,12/19/1990,Working,Canada,
,Darlington 2,CANDU 850,PHWR,881,9/1/1981,1/15/1990,Working,Canada,
,Darlington 3,CANDU 850,PHWR,881,9/1/1984,12/7/1992,Working,Canada,
,Darlington 4,CANDU 850,PHWR,881,7/1/1985,4/17/1993,Working,Canada,
,Pickering 1,CANDU 500A,PHWR,508,6/1/1966,4/4/1971,Working,Canada,
,Pickering 4,CANDU 500A,PHWR,508,5/1/1968,5/21/1973,Working,Canada,
,Pickering 5,CANDU 500B,PHWR,516,11/1/1974,12/19/1982,Working,Canada,
,Pickering 6,CANDU 500B,PHWR,516,10/1/1975,11/8/1983,Working,Canada,
,Pickering 7,CANDU 500B,PHWR,516,3/1/1976,11/17/1984,Working,Canada,
,Pickering 8,CANDU 500B,PHWR,516,9/1/1976,1/21/1986,Working,Canada,
,Point Lepreau,CANDU 6,PHWR,660,5/1/1975,9/11/1982,Working,Canada,
Fujian,Fuqing 1&2,M310+,CNNC & Huadian,1000 MWe,,"Aug 2014, Aug 2015",Working,China,
Fujian,Fuqing 3&4,M310+,CNNC & Huadian,1000 MWe,,"Sept 2016, July 2017",Working,China,
Fujian,Fuqing 5&6,Hualong One,CNNC & Huadian,1075 MWe,,"Nov 2020, Jan 2022",Working,China,
Fujian,Ningde 1&2,CPR-1000,CGN & Datang,1018 MWe,,"Dec 2012, Jan 2014",Working,China,
Fujian,Ningde 3&4,CPR-1000,CGN & Datang,1018 MWe,,"Mar 2015, Mar 2016",Working,China,
Guangdong,Daya Bay 1&2,French M310,CGN,944 MWe,,"Aug 1993, Feb 1994",Working,China,
Guangdong,"Ling Ao Phase I, 1&2",French M310,CGN,950 MWe,,"Feb 2002, Sept 2002",Working,China,
Guangdong,"Ling Dong/Ling Ao Phase II, 1&2",CPR-1000 (M310),CGN,1007 MWe,,"July 2010, May 2011",Working,China,
Guangdong,Taishan 1&2,EPR,CGN,1660 MWe,,"June 2018, June 2019",Working,China,
Guangdong,Yangjiang 1&2,CPR-1000,CGN,1000 MWe,,"Dec 2013, Mar 2015",Working,China,
Guangdong,Yangjiang 3&4,CPR-1000+,CGN,1000 MWe,,"Oct 2015, Jan 2017",Working,China,
Guangdong,Yangjiang 5&6,ACPR1000,CGN,1000 MWe,,"May 2018, June 2019",Working,China,
Guangxi,Fangchenggang 1&2,CPR-1000,CGN,1000 MWe,,"Oct 2015, July 2016",Working,China,
Guangxi,Fangchenggang 3,Hualong One,CGN,1105 MWe,,Jan-23,Working,China,
Hainan,Changjiang 1&2,CNP-600,CNNC & Huaneng,601 MWe,,"Nov 2015, June 2016",Working,China,
Jiangsu,Tianwan 1&2,VVER-1000/V-428,CNNC,1000 MWe,,"May 2006, May 2007",Working,China,
Jiangsu,Tianwan 3&4,VVER-1000/V-428M,CNNC,1060 MWe,,"Dec 2017, Oct 2018",Working,China,
Jiangsu,Tianwan 5&6,M310+,CNNC,1060 MWe,,"Aug 2020, May 2021",Working,China,
Liaoning,Hongyanhe 1&2,CPR-1000,CGN & SPI,1061 MWe,,"Feb 2013, Nov 2013",Working,China,
Liaoning,Hongyanhe 3&4,CPR-1000,CGN & SPI,1061 MWe,,"Mar 2015, April 2016",Working,China,
Liaoning,Hongyanhe 5&6,ACPR-1000,CGN & SPI,1061 MWe,,"June 2021, May 2022",Working,China,
Shandong,Haiyang 1&2,AP1000,SPIC,1170 MWe,,"Aug 2018, Oct 2018",Working,China,
Shandong,Shandong Shidaowan HTR,HTR-PM,Huaneng,200 MWe,,Dec-21,Working,China,
Zhejiang,Fangjiashan 1&2,M310+,CNNC,1012 MWe,,"Nov 2014, Jan 2015",Working,China,
Zhejiang,Qinshan Phase I,CNP-300,CNNC,326 MWe,,Dec-91,Working,China,
Zhejiang,"Qinshan Phase II, 1&2",CNP-600,CNNC,"623, 610 MWe",,"Feb 2002, Mar 2004",Working,China,
Zhejiang,"Qinshan Phase II, 3&4",CNP-600,CNNC,619 MWe,,"Aug 2010, Nov 2011",Working,China,
Zhejiang,"Qinshan Phase III, 1&2",Candu 6 PHWR,CNNC,677 MWe,,"Nov 2002, June 2003",Working,China,
Zhejiang,Sanmen 1&2,AP1000,CNNC,1157 MWe,,"June 2018, Aug 2018",Working,China,
,Dukovany 1,VVER V-213,PWR,510,1979-01,1985-02,Working,Czech republic,
,Dukovany 2,VVER V-213,PWR,510,1979-01,1986-01,Working,Czech republic,
,Dukovany 3,VVER V-213,PWR,510,1979-03,1986-11,Working,Czech republic,
,Dukovany 4,VVER V-213,PWR,510,1979-03,1987-06,Working,Czech republic,
,Temelin 1,VVER V-320,PWR,1086,1987-02,2000-12,Working,Czech republic,
,Temelin 2,VVER V-320,PWR,1086,1987-02,2002-12,Working,Czech republic,
,El Dabaa 1,VVER-1200/V-529,PWR,1200,44743,,Under Construction,Egypt,
,El Dabaa 2,VVER-1200/V-529,PWR,1200,44866,,Under Construction,Egypt,
,El Dabaa 3,VVER-1200/V-529,PWR,1200,45047,,Under Construction,Egypt,
,El Dabaa 4,VVER-1200/V-529,PWR,1200,TBC,,Under Construction,Egypt,
,Loviisa 1,VVER V-213,PWR,507,1971-05,1977-02,Working,Finland,
,Olkiluoto 1,"ABB-III, BWR-2500",BWR,890,1974-02,1978-09,Working,Finland,
,Olkiluoto 2,"ABB-III, BWR-2500",BWR,890,1975-11,1980-02,Working,Finland,
,Olkiluoto 3,EPR,PWR,1600,2005-08,2022-03,Working,Finland,
,Loviisa 2,VVER V-213,PWR,507,1972-08,1980-11,Working,Finland,
,Belleville 1,P4 REP 1300,PWR,1310,1980-05,1987-10,Working,France,
,Belleville 2,P4 REP 1300,PWR,1310,1980-08,1988-07,Working,France,
,Blayais 1,CP1,PWR,910,1977-01,1981-06,Working,France,
,Blayais 2,CP1,PWR,910,1977-01,1982-07,Working,France,
,Blayais 3,CP1,PWR,910,1978-04,1983-08,Working,France,
,Blayais 4,CP1,PWR,910,1978-04,1983-05,Working,France,
,Bugey 2,CP0,PWR,910,1972-11,1978-05,Working,France,
,Bugey 3,CP0,PWR,910,1973-09,1978-09,Working,France,
,Bugey 4,CP0,PWR,880,1974-06,1979-03,Working,France,
,Bugey 5,CP0,PWR,880,1974-07,1979-07,Working,France,
,Cattenom 1,P4 REP 1300,PWR,1300,1979-10,1986-11,Working,France,
,Cattenom 2,P4 REP 1300,PWR,1300,1980-07,1987-09,Working,France,
,Cattenom 3,P4 REP 1300,PWR,1300,1982-06,1990-07,Working,France,
,Cattenom 4,P4 REP 1300,PWR,1300,1983-09,1991-05,Working,France,
,Chinon B 1,CP2,PWR,905,1977-03,1982-11,Working,France,
,Chinon B 2,CP2,PWR,905,1977-03,1983-11,Working,France,
,Chinon B 3,CP2,PWR,905,1980-10,1986-10,Working,France,
,Chinon B 4,CP2,PWR,905,1981-02,1987-11,Working,France,
,Chooz B 1,N4 REP 1450,PWR,1500,1984-01,1996-08,Working,France,
,Chooz B 2,N4 REP 1450,PWR,1500,1985-12,1997-04,Working,France,
,Civaux 1,N4 REP 1450,PWR,1495,1988-10,1997-12,Working,France,
,Civaux 2,N4 REP 1450,PWR,1495,1991-04,1999-12,Working,France,
,Cruas 1,CP2,PWR,915,1978-08,1983-04,Working,France,
,Cruas 2,CP2,PWR,915,1978-11,1984-09,Working,France,
,Cruas 3,CP2,PWR,915,1979-04,1984-05,Working,France,
,Cruas 4,CP2,PWR,915,1979-10,1984-10,Working,France,
,Dampierre 1,CP1,PWR,890,1975-02,1980-03,Working,France,
,Dampierre 2,CP1,PWR,890,1975-04,1980-12,Working,France,
,Dampierre 3,CP1,PWR,890,1975-09,1981-01,Working,France,
,Dampierre 4,CP1,PWR,890,1975-12,1981-08,Working,France,
,Flamanville 1,P4 REP 1300,PWR,1330,1979-12,1985-12,Working,France,
,Flamanville 2,P4 REP 1300,PWR,1330,1980-05,1986-07,Working,France,
,Golfech 1,P4 REP 1300,PWR,1310,1982-11,1990-06,Working,France,
,Golfech 2,P4 REP 1300,PWR,1310,1984-10,1993-06,Working,France,
,Gravelines 1,CP1,PWR,910,1975-02,1980-03,Working,France,
,Gravelines 2,CP1,PWR,910,1975-03,1980-08,Working,France,
,Gravelines 3,CP1,PWR,910,1975-12,1980-12,Working,France,
,Gravelines 4,CP1,PWR,910,1976-04,1981-06,Working,France,
,Gravelines 5,CP1,PWR,910,1979-10,1984-08,Working,France,
,Gravelines 6,CP1,PWR,910,1979-10,1985-08,Working,France,
,Nogent 1,P4 REP 1300,PWR,1310,1981-05,1987-10,Working,France,
,Nogent 2,P4 REP 1300,PWR,1310,1982-01,1988-12,Working,France,
,Paluel 1,P4 REP 1300,PWR,1330,1977-08,1984-06,Working,France,
,Paluel 2,P4 REP 1300,PWR,1330,1978-01,1984-09,Working,France,
,Paluel 3,P4 REP 1300,PWR,1330,1979-02,1985-09,Working,France,
,Paluel 4,P4 REP 1300,PWR,1330,1980-02,1986-04,Working,France,
,Penly 1,P4 REP 1300,PWR,1330,1982-09,1990-05,Working,France,
,Penly 2,P4 REP 1300,PWR,1330,1984-08,1992-02,Working,France,
,St. Alban 1,P4 REP 1300,PWR,1335,1979-01,1985-08,Working,France,
,St. Alban 2,P4 REP 1300,PWR,1335,1979-07,1986-07,Working,France,
,St. Laurent B 1,CP2,PWR,915,1976-05,1981-01,Working,France,
,St. Laurent B 2,CP2,PWR,915,1976-07,1981-06,Working,France,
,Tricastin 1,CP1,PWR,915,1974-11,1980-05,Working,France,
,Tricastin 2,CP1,PWR,915,1974-12,1980-08,Working,France,
,Tricastin 3,CP1,PWR,915,1975-04,1981-02,Working,France,
,Tricastin 4,CP1,PWR,915,1975-05,1981-06,Working,France,
,AVR Juelich,Pebble bed reactor prototype,HTGR,13,12/31/1988,,Permanent Shutdown,Germany,
,Biblis A,PWR,PWR,1167,8/6/2011,,Permanent Shutdown,Germany,
,Biblis B,PWR,PWR,1240,8/6/2011,,Permanent Shutdown,Germany,
,Brokdorf,PWR,PWR,1410,12/31/2021,,Permanent Shutdown,Germany,
,Brunsbuettel,BWR-69,BWR,771,8/6/2011,,Permanent Shutdown,Germany,
,Emsland,Konvoi,PWR,1335,4/15/2023,,Permanent Shutdown,Germany,
,Grafenrheinfeld,PWR,PWR,1275,6/27/2015,,Permanent Shutdown,Germany,
,Greifswald 1,VVER V-230,PWR,408,2/14/1990,,Permanent Shutdown,Germany,
,Greifswald 2,VVER V-230,PWR,408,2/14/1990,,Permanent Shutdown,Germany,
,Greifswald 3,VVER V-230,PWR,408,2/28/1990,,Permanent Shutdown,Germany,
,Greifswald 4,VVER V-230,PWR,408,7/22/1990,,Permanent Shutdown,Germany,
,Greifswald 5,VVER V-213,PWR,408,11/24/1989,,Permanent Shutdown,Germany,
,Grohnde,PWR,PWR,1360,12/31/2021,,Permanent Shutdown,Germany,
,Gundremmingen A,-,BWR,237,1/13/1977,,Permanent Shutdown,Germany,
,Gundremmingen B,BWR-72,BWR,1284,12/31/2017,,Permanent Shutdown,Germany,
,Gundremmingen C,BWR-72,BWR,1288,12/31/2021,,Permanent Shutdown,Germany,
,HDR Grosswelzheim,Superheated steam reactor,BWR,25,4/20/1971,,Permanent Shutdown,Germany,
,Isar 1,BWR-69,BWR,878,8/6/2011,,Permanent Shutdown,Germany,
,Isar 2,Konvoi,PWR,1410,4/15/2023,,Permanent Shutdown,Germany,
,KNK II,Prototype,FBR,17,8/23/1991,,Permanent Shutdown,Germany,
,Kruemmel,BWR-69,BWR,1346,8/6/2011,,Permanent Shutdown,Germany,
,Lingen,BWR with fossil fuel-fired superheater,BWR,183,1/5/1977,,Permanent Shutdown,Germany,
,Muelheim Kaerlich,PWR,PWR,1219,9/9/1988,,Permanent Shutdown,Germany,
,Mzfr,-,PHWR,52,5/3/1984,,Permanent Shutdown,Germany,
,Neckarwestheim 1,PWR,PWR,785,8/6/2011,,Permanent Shutdown,Germany,
,Neckarwestheim 2,Konvoi,PWR,1310,4/15/2023,,Permanent Shutdown,Germany,
,Niederaichbach,pressure tube reactor,HWGCR,100,7/31/1974,,Permanent Shutdown,Germany,
,Obrigheim,-,PWR,340,5/11/2005,,Permanent Shutdown,Germany,
,Philippsburg 1,BWR-69,BWR,890,8/6/2011,,Permanent Shutdown,Germany,
,Philippsburg 2,PWR,PWR,1402,12/31/2019,,Permanent Shutdown,Germany,
,Rheinsberg,VVER-70,PWR,62,6/1/1990,,Permanent Shutdown,Germany,
,Stade,-,PWR,640,11/14/2003,,Permanent Shutdown,Germany,
,THTR-300,Pebble bed reactor,HTGR,296,9/29/1988,,Permanent Shutdown,Germany,
,Unterweser,PWR,PWR,1345,8/6/2011,,Permanent Shutdown,Germany,
,VAK Kahl,BWR,BWR,15,11/25/1985,,Permanent Shutdown,Germany,
,Wuergassen,-,BWR,640,8/26/1994,,Permanent Shutdown,Germany,
,Paks 5,AES-2006E: VVER-1200/V-527,BWR,1200,2023,2032,Working,Hungary,
,Paks 6,AES-2006E: VVER-1200/V-527,BWR,1200,2032,,Working,Hungary,
,Kaiga 1,Horizontal Pressure Tube type,PHWR,202,2000-10,,Working,India,
,Kaiga 2,Horizontal Pressure Tube type,PHWR,202,1999-12,,Working,India,
,Kaiga 3,Horizontal Pressure Tube type,PHWR,202,2007-04,,Working,India,
,Kaiga 4,Horizontal Pressure Tube type,PHWR,202,2011-01,,Working,India,
,Kakrapar 1,Horizontal Pressure Tube type,PHWR,202,1992-11,,Working,India,
,Kakrapar 2,Horizontal Pressure Tube type,PHWR,202,1995-03,,Working,India,
,Kakrapar 3,PHWR-700,PHWR,630,2021-01,,Working,India,
,Kudankulam 1,VVER V-412,PWR,932,2013-10,,Working,India,
,Kudankulam 2,VVER V-412,PWR,932,2016-08,,Working,India,
,Madras 1,Horizontal Pressure Tube type,PHWR,205,1983-07,,Working,India,
,Madras 2,Horizontal Pressure Tube type,PHWR,205,1985-09,,Working,India,
,Narora 1,Horizontal Pressure Tube type,PHWR,202,1989-07,,Working,India,
,Narora 2,Horizontal Pressure Tube type,PHWR,202,1992-01,,Working,India,
,Rajasthan 2,Horizontal Pressure Tube type,PHWR,187,1980-11,,Working,India,
,Rajasthan 3,Horizontal Pressure Tube type,PHWR,202,2000-03,,Working,India,
,Rajasthan 4,Horizontal Pressure Tube type,PHWR,202,2000-11,,Working,India,
,Rajasthan 5,Horizontal Pressure Tube type,PHWR,202,2009-12,,Working,India,
,Rajasthan 6,Horizontal Pressure Tube type,PHWR,202,2010-03,,Working,India,
,Tarapur 1,BWR-1 (Mark 2),BWR,150,1969-04,,Working,India,
,Tarapur 2,BWR-1 (Mark 2),BWR,150,1969-05,,Working,India,
,Tarapur 3,Horizontal Pressure Tube Type,PHWR,490,2006-06,,Working,India,
,Tarapur 4,Horizontal Pressure Tube Type,PHWR,490,2005-06,,Working,India,
,Kakrapar 4,PHWR-700,PHWR,700,11/22/2010,,Under Construction,India,
,Kudankulam 3,VVER V-412,PWR,1000,6/29/2017,,Under Construction,India,
,Kudankulam 4,VVER V-412,PWR,1000,10/23/2017,,Under Construction,India,
,Kudankulam 5,VVER V-412,PWR,1000,6/29/2021,,Under Construction,India,
,Kudankulam 6,VVER V-412,PWR,1000,12/20/2021,,Under Construction,India,
,PFBR,Prototype,FBR,500,10/23/2004,,Under Construction,India,
,Rajasthan 7,Horizontal Pressure Tube type,PHWR,700,7/18/2011,,Under Construction,India,
,Rajasthan 8,Horizontal Pressure Tube type,PHWR,700,9/30/2011,,Under Construction,India,
,Bushehr 2,"AES-92, VVER-1000/V-466B",1057,43770,,2024,Under Construction,Iran,
,Garigliano,BWR-1,BWR,150,,1982-03,Permanent Shutdown,Italy,
,Latina,MAGNOX,GCR,153,,1987-12,Permanent Shutdown,Italy,
,Caorso,BWR-4 (Mark 2),BWR,860,,1990-07,Permanent Shutdown,Italy,
,Enrico Fermi,W (4-loop),PWR,260,,1990-07,Permanent Shutdown,Italy,
,Akademik Lomonosov 1,KLT-40S,PWR,32,20-May,2029,Working,Russia,
,Akademik Lomonosov 2,KLT-40S,PWR,32,20-May,2029,Working,Russia,
,Balakovo 1,V-320,PWR,950,May-86,2045,Working,Russia,
,Balakovo 2,V-320,PWR,950,Jan-88,2043,Working,Russia,
,Balakovo 3,V-320,PWR,950,Apr-89,2048,Working,Russia,
,Balakovo 4,V-320,PWR,950,Dec-93,2053,Working,Russia,
,Beloyarsk 3,BN-600 (FBR),PWR,560,Nov-81,2030,Working,Russia,
,Beloyarsk 4,BN-800 (FBR),PWR,820,16-Oct,2056,Working,Russia,
,Bilibino 2-4,EGP-6 (LWGR),PWR,3 x 11,12/74-1/77,Dec 2021; unit 2: 2025,Working,Russia,
,Kalinin 1,V-338,PWR,950,Jun-85,2045,Working,Russia,
,Kalinin 2,V-338,PWR,950,Mar-87,2047,Working,Russia,
,Kalinin 3,V-320,PWR,950,Nov-05,2065,Working,Russia,
,Kalinin 4,V-320,PWR,950,Sep-12,2072,Working,Russia,
,Kola 1,V-230,PWR,411,Dec-73,2033,Working,Russia,
,Kola 2,V-230,PWR,411,Feb-75,2034,Working,Russia,
,Kola 3,V-213,PWR,411,Dec-84,2027,Working,Russia,
,Kola 4,V-213,PWR,411,Dec-84,2029,Working,Russia,
,Kursk 2,RBMK,PWR,925,Aug-79,2024,Working,Russia,
,Kursk 3,RBMK,PWR,925,Mar-84,2029,Working,Russia,
,Kursk 4,RBMK,PWR,925,Feb-86,2031,Working,Russia,
,Leningrad 3,RBMK,PWR,925,Jun-80,2025,Working,Russia,
,Leningrad 4,RBMK,PWR,925,Aug-81,2026,Working,Russia,
,Leningrad II-1,V-491,PWR,1101,Oct-18,2078,Working,Russia,
,Leningrad II-2,V-491,PWR,1066,Mar-21,2079,Working,Russia,
,Novovoronezh 4,V-179,PWR,385,Mar-73,2032,Working,Russia,
,Novovoronezh 5,V-187,PWR,950,Feb-81,,2035 potential,Russia,
,Novovoronezh II-1*,V-392M,PWR,1100,Oct-18,,2077 Working,Russia,
,Novovoronezh II-2*,V-392M,PWR,1101,Mar-21,,2077 Working,Russia,
,Rostov 1,V-320,PWR,950,Mar-01,,2031 Working,Russia,
,Rostov 2,V-320,PWR,950,Oct-10,,2040 Working,Russia,
,Rostov 3,V-320,PWR,950,Sep-15,,2045 Working,Russia,
,Rostov 4,V-320,PWR,979,Sep-18,,2048 Working,Russia,
,Smolensk 1,RBMK,PWR,925,Sep-83,,2028 Working,Russia,
,Smolensk 2,RBMK,PWR,925,Jul-85,,2030 Working,Russia,
,Smolensk 3,RBMK,PWR,925,Jan-90,,2034 Working,Russia,
,BREST-OD-300,BREST-300,PWR,300,Jun-21,2026, Under Construction,Russia,
,Kursk II-1,VVER-TOI/V-510,PWR,1255,18-Apr,Apr-22, Under Construction,Russia,
,Kursk II-2,VVER-TOI/V-510,PWR,1255,19-Apr,2023, Under Construction,Russia,
,Leningrad II-3,VVER 1200/V-491,PWR,1170,"Planned, 2022",2027 or later,Proposed,Russia,
,Leningrad II-4,VVER 1200/V-491,PWR,1170,"Planned, 2023",2027 or later,Proposed,Russia,
,Nizhny Novgorod 1,VVER-TOI,PWR,1255,Planned,2028,Proposed,Russia,
,Nizhny Novgorod 2,VVER-TOI,PWR,1255,Planned,2030,Proposed,Russia,
,Central/Kostroma 1,VVER-TOI,PWR,1250,Planned,by 2030,Proposed,Russia,
,Central/Kostroma 2,VVER-TOI,PWR,1250,Planned,by 2030,Proposed,Russia,
,Smolensk II-1,VVER-TOI,PWR,1250,"Planned, 2022",2027,Proposed,Russia,
,Smolensk II-2,VVER-TOI,PWR,1250,"Planned, 2024",2029,Proposed,Russia,
,Smolensk II-3,VVER-TOI,PWR,1250,Planned,,Proposed,Russia,
,Smolensk II-4,VVER-TOI,PWR,1250,Planned,,Proposed,Russia,
,Kursk II-3,VVER-TOI,PWR,1255,Planned,2028 or later,Proposed,Russia,
,Kursk II-4,VVER-TOI,PWR,1255,Planned,2030 or later,Proposed,Russia,
,Tatar,VVER-TOI,PWR,1250,Planned,by 2030,Proposed,Russia,
,Kola II-1,VVER-600/V-498,PWR,600,"Planned, 2028",2034,Proposed,Russia,
,Kola II-2,VVER-600/V-498,PWR,600,Planned,,Proposed,Russia,
,Beloyarsk 5,BN-1200,PWR,1220,"Planned, 2025",2036,Proposed,Russia,
,South Urals 1,BN-1200,PWR,1220,Planned,2035 or later,Proposed,Russia,
,South Urals 2,BN-1200,PWR,1220,Planned,2035 or later,Proposed,Russia,
,Novovoronezh II-3,VVER-1200,PWR,1200,Planned,,Proposed,Russia,
,Novovoronezh II-4,VVER-1200,PWR,1200,Planned,,Proposed,Russia,
,"Ust-Kuyga, Yakutia",RITM-200N,PWR,55,"Planned, 2024",2028,Proposed,Russia,
,"Cape Nagloynyn, Chukotka",RITM-200M,PWR,50x6,"Planned, 2023",2027,Proposed,Russia,
,Tatar 2,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Seversk 1,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Seversk 2,VVER-TOI,PWR,1255,,,Proposed,Russia,
,Bashkirsk 1,VVER-TOI,PWR,1255,,,Proposed,Russia,
