,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
0,Abomination (Emil Blonsky),Avengers (1998) #61,Avengers (1998) #62,Avengers Vol. 1: World Trust (Trade Paperback),Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Hulk (2008) #3,Hulk: Destruction (2005) #4,Hulk (1999) #24,Hulk (1999) #25,Hulk (1999) #28,Hulk (1999) #50,Hulk (1999) #51,Hulk (1999) #53,Hulk (1999) #54,Incredible Hulk (1962) #137,Incredible Hulk (1962) #171,Incredible Hulk (1962) #194,Incredible Hulk (1962) #195,Incredible Hulk (1962) #196,Incredible Hulk (1962) #200,,,,,,,,,,,,,,,
1,Abomination (Ultimate),Hulk (2008) #50,Ultimate X-Men (2001) #26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Absorbing Man,A+X (2012) #8,Avengers (1963) #183,Avengers (1963) #184,Avengers (1963) #270,Avengers Academy (2010) #16,Avengers Academy (2010) #17,Avengers Academy (2010) #18,Avengers Academy (2010) #19,Avengers Annual (1967) #20,Black Bolt (2017) #3,Black Bolt (2017) #4,Black Bolt (2017) #11,Black Bolt Vol. 1: Hard Time (Trade Paperback),Captain America (1998) #24,Dazzler (1981) #18,Dazzler (1981) #19,Deadpool (1997) #43,Fantastic Four (1998) #22,Fantastic Four (1961) #330,Fear Itself (2010) #2 (3rd Printing Variant),,,,,,,,,,,,,,,
3,Aaron Stack,Dark Avengers (2012) #177,Dark Avengers (2012) #179,Dark Avengers (2012) #180,Dark Avengers (2012) #181,Dark Avengers (2012) #182,Dark Avengers (2012) #183,Hulk (2008) #43,Universe X (2000) #6,Universe X (2000) #7,Universe X (2000) #8,Universe X (2000) #9,Universe X (2000) #10,Universe X (2000) #11,Universe X (2000) #12,,,,,,,,,,,,,,,,,,,,,
4,Abyss,Uncanny X-Men (1963) #402,Uncanny X-Men (1963) #404,Uncanny X-Men (1963) #405,Uncanny X-Men (1963) #406,Uncanny X-Men (1963) #429,Uncanny X-Men (1963) #431,X-Men: Alpha (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abyss (Age of Apocalypse),Weapon X (1995) #1,X-Men: Alpha (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adam Destine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adam Warlock,Adam Warlock Omnibus (Hardcover),Adam Warlock: Strange Tales Facsimile Edition (2023) #178,All-New Guardians of the Galaxy Vol. 3: Infinity Quest (Trade Paperback),Annihilation: Conquest (2007) #1,Annihilation: Conquest (2007) #2,Annihilation: Conquest (2007) #3,Annihilation: Conquest (2007) #4,Annihilation: Conquest (2007) #5,Annihilation: Conquest (2007) #6,Avengers Forever (1998) #9,Avengers Legends Vol. I: Avengers Forever (Trade Paperback),CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Doctor Strange, Sorcerer Supreme (1988) #27,Doctor Strange, Sorcerer Supreme (1988) #32,Doctor Strange, Sorcerer Supreme (1988) #36,Earth X (1999) #2,Earth X (1999) #11,EARTH X TPB [NEW PRINTING] (Trade Paperback),Fantastic Four (1961) #172,Fantastic Four (1961) #370,,,,,,,,,,,,
8,Aegis (Trey Rollins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aero (Aero),Aero (2019) #1,Aero (2019) #2,Aero (2019) #3,Aero (2019) #4,Aero (2019) #5,Aero (2019) #6,Aero (2019) #7,Aero (2019) #8,Aero (2019) #9,Aero (2019) #10,Aero (2019) #11,Aero (2019) #12,Agents of Atlas (2019) #1,Agents of Atlas (2019) #3,Agents of Atlas (2019) #5,Atlantis Attacks (2020) #1,Atlantis Attacks (2020) #2,Atlantis Attacks (2020) #3,Atlantis Attacks (2020) #4,Atlantis Attacks (2020) #5,,,,,,,,,,,,,,,
